scale,spec,term,estimate,std.error,statistic,p.value,conf.low,conf.high,stars
score_basu60,C_growth_loggdppc,log_GDPpc,-23.213568685049495,2.6418525797958856,-8.786852401447403,4.014795670585203e-15,-28.4350834794535,-17.99205389064549,***
score_norm01,C_growth_loggdppc,GDP_growth_pct,-6.792854713713592e-4,1.837698824959842e-4,-3.6963917163423297,3.0937912982504176e-4,-0.0010424992129544736,-3.160717297882448e-4,***
score_norm01,C_growth_loggdppc,log_GDPpc,0.38689281141749204,0.04403087632993146,8.786852401447407,4.014795670585101e-15,0.29986756484409194,0.47391805799089215,***
score_logPD,C_growth_loggdppc,GDP_growth_pct,-0.008511162254082844,0.0022289769575182554,-3.8184164378079433,1.9846933934958733e-4,-0.012916645076658212,-0.0041056794315074766,***
score_logPD,C_growth_loggdppc,log_GDPpc,4.603593251271305,0.5914129903146486,7.784058393479086,1.217007997484947e-12,3.4346893910985927,5.772497111444018,***
score_60,D_full,GDP_growth_pct,-0.04048158104708565,0.011089636590404068,-3.650397442429684,3.6634801326728675e-4,-0.062402379173214104,-0.0185607829209572,***
score_60,D_full,FDI_pct_GDP,-0.0014132991490075839,6.759884915947606e-4,-2.0907148073976733,0.03832311471843624,-0.0027495203262332753,-7.707797178189242e-5,**
score_60,D_full,log_GDPpc,23.252120933271343,2.672579607135943,8.700253818889745,7.186935561863995e-15,17.96925367549946,28.534988191043226,***
score_21,D_full,GDP_growth_pct,-0.012293612969305145,0.0038624104265253508,-3.182886232099513,0.0017892925894788243,-0.01992840952462048,-0.004658816413989809,***
score_21,D_full,FDI_pct_GDP,-4.821179532066052e-4,2.509958313053689e-4,-1.9208205598444634,0.05674442633395622,-9.782594546608298e-4,1.4023548247619501e-5,*
score_21,D_full,log_GDPpc,7.7217679052848816,0.9058036665111808,8.524769981365015,1.9693964709295876e-14,5.931272864836032,9.512262945733731,***
score_20,D_full,GDP_growth_pct,-0.012293612969305145,0.0038624104265253508,-3.182886232099513,0.0017892925894788243,-0.01992840952462048,-0.004658816413989809,***
score_20,D_full,FDI_pct_GDP,-4.821179532066049e-4,2.509958313053689e-4,-1.9208205598444623,0.05674442633395633,-9.782594546608296e-4,1.4023548247619772e-5,*
score_20,D_full,log_GDPpc,7.721767905284882,0.9058036665111808,8.524769981365017,1.9693964709295876e-14,5.931272864836033,9.512262945733731,***
score_17,D_full,GDP_growth_pct,-0.01289670930560292,0.003738229602876968,-3.4499510933404203,7.371820037410544e-4,-0.020286038595680005,-0.005507380015525838,***
score_17,D_full,FDI_pct_GDP,-4.3832579233827186e-4,2.4103013932282353e-4,-1.8185517942683531,0.07107235585588889,-9.147681882036276e-4,3.8116603527083926e-5,*
score_17,D_full,log_GDPpc,7.01785711782215,0.9626534669259691,7.290117741155805,1.934069242885108e-11,5.114987520439523,8.920726715204777,***
score_16,D_full,GDP_growth_pct,-0.013393417808375798,0.0035436166355071177,-3.7795899460944655,2.2997091044025977e-4,-0.020398057164236934,-0.006388778452514663,***
score_16,D_full,FDI_pct_GDP,-4.114804000244592e-4,2.348061879613138e-4,-1.7524257073338028,0.08184396835041789,-8.756199597932242e-4,5.265915974430582e-5,*
score_16,D_full,log_GDPpc,6.532330920601638,0.9837544629392421,6.640204610695711,6.062558322661813e-10,4.5877511490310265,8.476910692172249,***
score_basu60,D_full,GDP_growth_pct,0.04048158104708567,0.011089636590404068,3.650397442429686,3.663480132672835e-4,0.01856078292095722,0.06240237917321412,***
score_basu60,D_full,FDI_pct_GDP,0.0014132991490075839,6.759884915947608e-4,2.0907148073976733,0.03832311471843624,7.70779717818922e-5,0.0027495203262332757,**
score_basu60,D_full,log_GDPpc,-23.252120933271343,2.6725796071359436,-8.700253818889744,7.186935561864176e-15,-28.534988191043226,-17.96925367549946,***
