Country,Years,Avg_Actual,Avg_Shadow,Avg_Residual,RMSE,MaxAbsResid,TrendResid,Continent,IncomeGroup
Georgia,20,24.225,27.76468081898658,-3.5396808189865836,4.1746624517626385,6.543701627340532,-0.154349185040983,Asia,Upper_Middle_Income
Malta,26,44.17307692307692,47.66046948467477,-3.487392561597848,4.605653174848639,9.863918647884276,-0.16282620833240402,Europe,High_Income
Mongolia,26,18.98076923076923,22.458562614760787,-3.4777933839915556,6.925826281222055,13.280398429776138,-0.13786135258289348,Asia,Lower_Middle_Income
Macau,26,49.5,52.943054005266056,-3.443054005266058,5.551648173379109,10.544280543771102,0.14614659928970838,Asia,High_Income
Mali,7,11.142857142857142,14.477299667176682,-3.334442524319538,3.7796889179799757,5.117373305350663,-0.7647701865636375,Africa,Low_Income
Bermuda,26,51.59615384615385,54.80727394317329,-3.211120097019446,6.141409382285547,10.028709629960545,-0.45311565521429314,North_America,High_Income
Croatia,26,33.11538461538461,36.23473415044448,-3.119349535059864,5.952319552135716,12.365130591398312,0.05524850667321729,Europe,High_Income
Turkey,26,25.28846153846154,28.403048456266088,-3.114586917804551,4.99418922119006,9.388495506389908,-0.08688693219774919,Asia,Upper_Middle_Income
Macedonia,21,25.714285714285715,28.339131007500452,-2.624845293214731,5.016237701312587,7.468174544813518,-0.46497756288482767,Europe,Upper_Middle_Income
Serbia,22,25.568181818181817,27.98321919537472,-2.415037377192905,3.6819468525835126,7.66740281466334,0.07116813097827934,Europe,Upper_Middle_Income
Ireland,26,52.36538461538461,54.66406350770512,-2.2986788923205013,8.518958989541213,17.147092204949494,-0.3461162511415435,Europe,High_Income
Fiji,26,23.307692307692307,25.516699104196356,-2.209006796504048,5.323902703721963,10.881112674026102,-0.5219675047265895,Oceania,Upper_Middle_Income
Papua New Guinea,26,19.26923076923077,21.45782236612227,-2.188591596891499,5.923553037125428,11.227839046066936,-0.47960094995956143,Oceania,Lower_Middle_Income
Romania,26,29.903846153846153,31.971892667241,-2.068046513394848,3.3528651350652705,5.9491361306978625,0.04504490631148059,Europe,High_Income
Oman,26,37.44230769230769,39.50984115077213,-2.0675334584644314,7.0007435048512265,16.151959196212097,-0.04755433240844809,Asia,High_Income
Trinidad and Tobago,26,36.51923076923077,38.21911204711803,-1.6998812778872652,4.483344028337839,8.508811377609966,-0.17947111703412047,North_America,High_Income
Brazil,26,27.865384615384617,29.192720767229357,-1.3273361518447397,2.92538049966723,4.490953577109341,0.060385325621012384,South_America,Upper_Middle_Income
Mauritius,26,36.69230769230769,37.97211781953908,-1.2798101272313884,2.2526700274933043,6.127618057074905,-0.23115032322322748,Africa,Upper_Middle_Income
Paraguay,26,22.78846153846154,23.968809324055876,-1.180347785594341,4.630911867144193,9.015639215189204,0.0956305063253977,South_America,Upper_Middle_Income
Portugal,26,43.61538461538461,44.742904404295665,-1.1275197889110444,10.71355264830009,17.27385542451063,-0.5527486367515642,Europe,High_Income
