ISO3,Year,RuleOfLaw
DNK,2000,1.969416
DOM,2000,-0.715281
DZA,2000,-1.230365
ECU,2000,-0.826515
EGY,2000,-0.117837
ERI,2000,-0.966276
ESP,2000,1.224983
EST,2000,0.679495
ETH,2000,-0.868546
FIN,2000,2.048255
FJI,2000,-0.395192
FRA,2000,1.354
FSM,2000,0.867438
GAB,2000,-0.33414
GBR,2000,1.717661
GEO,2000,-0.631231
GHA,2000,-0.161304
GIN,2000,-1.227117
GMB,2000,0.026396
GNB,2000,-1.575055
GNQ,2000,-1.529407
GRC,2000,0.814348
GRD,2000,0.378479
GTM,2000,-0.99869
GUF,2000,0.787723
GUY,2000,-0.198325
HKG,2000,0.984245
HND,2000,-1.221752
HRV,2000,-0.028315
HTI,2000,-1.587939
HUN,2000,0.86158
IDN,2000,-0.950184
IND,2000,0.260415
IRL,2000,1.665143
IRN,2000,-0.691201
IRQ,2000,-1.534912
ISL,2000,1.877739
ISR,2000,0.988309
ITA,2000,0.877642
JAM,2000,-0.489751
JOR,2000,0.256756
JPN,2000,1.310183
KAZ,2000,-1.204161
KEN,2000,-0.951877
KGZ,2000,-0.910081
KHM,2000,-1.20014
KIR,2000,0.867438
KNA,2000,0.867438
KOR,2000,0.810882
KWT,2000,0.673368
LAO,2000,-1.326725
LBN,2000,-0.142746
LBR,2000,-1.921251
LBY,2000,-1.182786
LCA,2000,0.867438
LIE,2000,1.354939
LKA,2000,0.09017
LSO,2000,0.185546
LTU,2000,0.169754
LUX,2000,1.878853
LVA,2000,0.149758
MAC,2000,0.022359
MAR,2000,0.214198
MCO,2000,0.867438
MDA,2000,-0.229067
MDG,2000,-0.287284
MDV,2000,-0.091895
MEX,2000,-0.5434
MHL,2000,0.867438
MKD,2000,-0.625436
MLI,2000,-0.264988
MLT,2000,1.375411
MMR,2000,-1.421404
MNE,2000,0.210476
MNG,2000,0.061002
MOZ,2000,-0.70788
MRT,2000,-0.560795
MTQ,2000,1.042845
