resourceIdentifier,resourceName,proponent,protocolCategories,protocolSubCategories,protocols,resourceStatus,country,region,estAnnualEmissionReductions,version,projectRegistrationDate,creditingPeriodStartDate,creditingPeriodEndDate,createDate
5874,East Coast Mangroves – Restoration Project in Sri Lanka,Proclime Lanka Private Limited,Agriculture Forestry and Other Land Use,WRC,VM0033,Under development,Sri Lanka,Asia,97963,VCS Version 3,,2025-06-05,2065-06-04,2025-12-29
5876,Kablaki Agroforestry for Small Farmers Program,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Timor-Leste,Asia,72103,VCS Version 3,,,,2025-12-29
5877,Sierra Leone PRIDO ARR-Agroforestry Program,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Sierra Leone,Africa,80003,VCS Version 3,,,,2025-12-29
5873,Gunung Lumut Landscape Project,PT Telaga Mas Kalimantan,Agriculture Forestry and Other Land Use,ARR; IFM; REDD,VM0007; VM0010; VM0048,Under development,Indonesia,Asia,941061,VCS Version 3,,2023-01-01,2072-12-31,2025-12-27
5871,"Biogas Plant at Gujjar Colony, Lahore",Punjab Power Development Company Limited (PPDCL),Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.C.; AMS-III.D.,Under validation,Pakistan,Asia,39186,VCS Version 3,,2026-01-01,2035-12-31,2025-12-26
5872,Project Aranyam: Building Climate Resilient Communities in Maharashtra and Gujarat Through Agroforestry Practices,Clean Max Aranyam Private Limited,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,India,Asia,297033,VCS Version 3,,2024-07-01,2044-06-30,2025-12-26
5860,Ningxia Junfeng Siguquan Coal Mine Well No.2 CMM Heating Project,"Ningxia Junfeng New Energy Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Under validation,China,Asia,111399,VCS Version 3,,2024-10-08,2034-10-07,2025-12-23
5861,South African Electrification Programme,Motion Energy Group Pty Ltd,Transport,,VM0038,Under development,South Africa,Africa,142110,VCS Version 3,,2024-11-28,2031-11-27,2025-12-23
5862,Tubura Forest Landscape Restoration Program,One Acre Fund,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Rwanda,Africa,105000,VCS Version 3,,2023-11-01,2053-10-31,2025-12-23
5863,One Acre Fund Munda Otsogola Program,One Acre Fund,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Malawi,Africa,92059,VCS Version 3,,2023-01-10,2053-01-09,2025-12-23
5858,Increasing Carbon Stocks through the Reforestation of the Communal Forests of Ndélélé and Bétaré-Oya,Terraformation Inc.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under validation,Cameroon,Africa,73569,VCS Version 3,,,,2025-12-22
5859,AgriCapture Latin America Rice Methane Project,"AgriCapture, Inc.",Agriculture Forestry and Other Land Use,ALM,VM0051,Under validation,Brazil,Latin America,46461,VCS Version 3,,2025-09-13,2032-09-12,2025-12-22
5856,Electric Mobility Program Brazil,Zeroca B.V.,Transport,,VMR0014; VM0038,Under validation,Brazil,Latin America,253260,VCS Version 3,,2026-01-01,2035-12-31,2025-12-20
5855,Distribution and Installation of New Energy-Efficient Cookstoves (ICS) in Laos,Bridge Carbon SGT Asia Stoves Private Limited,Energy demand,,VM0050,Under development,Lao,Asia,106828,VCS Version 3,,2026-01-01,2035-12-31,2025-12-19
5850,NAM KAIO HYDRO POWER PROJECT,SINGAPORE TREASURE CARBON TECH PTE. LTD.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under development,Lao,,24080,VCS Version 3,,2026-03-31,2036-03-30,2025-12-18
5851,10.2MW Nam Yeim Hydro Power Project,SINGAPORE TREASURE CARBON TECH PTE. LTD.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Under development,Lao,,22841,VCS Version 3,,2026-03-01,2036-02-29,2025-12-18
5853,Project Duiker | Forest Ecosystem Restoration in Eastern Guinea,Rainforest Builder Ltd.,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Guinea,Africa,109068,VCS Version 3,,2026-04-01,2126-03-31,2025-12-18
5854,Electric Mobility Program Nepal,Zeroca B.V.,Transport,,VMR0014; VM0038,Under validation,Nepal,Asia,30659,VCS Version 3,,2026-01-01,2035-12-31,2025-12-18
5848,Lunga Luswishi Carbon Enhancement Project,Multiple Proponents,Agriculture Forestry and Other Land Use,ALM,Methodology Under Development,Under development,Zambia,Africa,18810,VCS Version 3,,,,2025-12-17
5849,Livestock Water Recycling Advanced Solid Separation Grouped Project,"3Degrees Group, Inc.","Livestock, enteric fermentation, and manure management",,AMS-III.Y,Under validation,United States,North America,33000,VCS Version 3,,2025-01-31,2032-01-30,2025-12-17
5845,Nunukan Mangrove & Peatland Project,PT. Bumi Hijau Konservasi,Agriculture Forestry and Other Land Use,ARR; REDD; WRC,VM0007; VM0033; VM0047,Under validation,Indonesia,Asia,355275,VCS Version 3,,2026-02-01,2066-01-31,2025-12-15
5844,J&H Haulage Integrated Waste Processing & Recycling Project (VMR0009 + VMR0007),J&H Haulage Ltd,Waste handling and disposal,,VMR0007; VMR0009,Under development,United Kingdom,Europe,48460,VCS Version 3,,2026-03-01,2036-02-29,2025-12-12
5841,EnviroServ Waste-to-Energy Grouped Project,EnviroServ Waste Management (Pty) Ltd,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Under development,South Africa,Africa,155134,VCS Version 3,,,,2025-12-11
5842,UNITÁN II: Afforestation and Reforestation Project with Variety of Native Species in the Argentine Chaco,UNITAN SAICA,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Argentina,Latin America,1542,VCS Version 3,,2023-09-23,2066-09-22,2025-12-11
5837,Amazon Highest-Deforestation Frontline (HDF) XARR Grouped Project,Rainforest Defense Company,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Brazil,,300000,VCS Version 3,,2026-02-01,2066-01-31,2025-12-08
5838,RIO BRANCO REDD+,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0048,Under development,Brazil,Latin America,60988,VCS Version 3,,2022-11-12,2062-11-11,2025-12-08
5836,Amazon Highest-Deforestation Frontline (HDF) XREDD Grouped Project,Rainforest Defense Company,Agriculture Forestry and Other Land Use,REDD,VM0048,Under development,Brazil,,300000,VCS Version 3,,2026-02-01,2066-01-31,2025-12-06
5833,1397 TPD Bundled Composting Project by EOFPL,M/S. Eastern Organic Fertilizer Pvt. Ltd. (EOFPL),Waste handling and disposal,,ACM0022,Under validation,India,Asia,79427,VCS Version 3,,2024-03-27,2034-03-26,2025-12-05
5834,Delta Kapuas Project,PT Belantara Sejahtera Mandiri,Agriculture Forestry and Other Land Use,ARR; REDD; WRC,VM0007; VM0033; VM0047; VM0048,Under development,Indonesia,Asia,2438716,VCS Version 3,,2023-01-01,2086-12-31,2025-12-05
5832,ZORÓ PANGYJEJ REDD+,Associação do povo indígena ZORÓ PANGYJEJ (APIZ),Agriculture Forestry and Other Land Use,REDD,VM0048,Under development,Brazil,Latin America,241477,VCS Version 3,,2023-02-02,2063-02-01,2025-12-04
5831,IGARAPÉ LOURDES REDD+ PROJECT,Multiple Proponents,Agriculture Forestry and Other Land Use,REDD,VM0048,Under development,Brazil,Latin America,52416,VCS Version 3,,2022-11-11,2062-11-10,2025-12-04
5826,CO₂ Utilization in Concrete Production - Carbonminer Guangdong Project,"Shenzhen New Green Carbon and Technology (Group) Co., Ltd",Construction; Manufacturing industries,,VM0043,Under validation,China,Asia,4584,VCS Version 3,,2024-08-01,2031-07-31,2025-12-02
5827,Scaw Electric Arc Furnace Efficiency Project,Scaw South Africa (Pty) Limited,Energy demand,,AMS-II.D.,Under development,South Africa,Africa,19832,VCS Version 3,,,,2025-12-02
5821,"TREES FOR FARMERS, AGROFORESTRY PROJECT IN INDIA",Fidelis Enviro Private Limited,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,India,Asia,980163,VCS Version 3,,2026-03-01,2046-02-28,2025-12-01
5822,Mwenga Hydro Power Project,Rift Valley Energy Tanzania Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.F.,Under validation,Tanzania,Africa,10695,VCS Version 3,,2020-01-30,2027-01-29,2025-12-01
5823,Forêts d'Avenir,Lignaverda (Driven by Ondernemers Zonder Grenzen),Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Senegal,Africa,20443,VCS Version 3,,2023-07-10,2063-07-09,2025-12-01
5819,JIANGMEN MSW INCINERATION AND POWER GENERATION,"PublicEnergy(Jiangmen)Co.,Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Under validation,China,Asia,208118,VCS Version 3,,2024-05-24,2031-05-23,2025-11-28
5820,The Gamboma and Mbon Afforestation Project,EcoNetix GmbH,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Congo,Africa,2757662,VCS Version 3,,2026-01-01,2067-12-31,2025-11-28
5818,Avé Ga Grouped Project,Reforest'Action,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Togo,Africa,174039,VCS Version 3,,,,2025-11-27
5816,The Massangui Forest Conservation and Afforestation Project,EcoNetix GmbH,Agriculture Forestry and Other Land Use,ARR; REDD,VM0047; VM0048,Under development,Congo,Africa,383479,VCS Version 3,,2026-01-01,2067-12-31,2025-11-26
5817,BIOGAS TO ENERGY GROUPED PROJECT – MEXICO,SAJOMA Climate Technical Consulting S.A.S. de C.V.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.C.; AMS-III.D.,Under validation,Mexico,Latin America,46382,VCS Version 3,,2024-02-20,2031-02-19,2025-11-26
5815,Bio2Watt Bronkhorstspruit Biogas project,Bronkhorstspruit Biogas Plant (Pty) Ltd.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0022,Under development,South Africa,Africa,30000,VCS Version 3,,,,2025-11-25
5813,"Developing a Voluntary Carbon Market Project with FPOs for Agroforestry Plantation in Saharanpur District of Uttar Pradesh, India","New Agri Bio Energy Producer Co. Ltd, Saharanpur",Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,India,Asia,54161,VCS Version 3,,2023-01-17,2063-01-16,2025-11-24
5814,THAILAND CARBON PROGRAM OF RICE-FIELD FOR ALTERNATIVE WET AND DRY IN THE AREAS OF THE CENTRAL AND NORTHERN,Multiple Proponents,Agriculture Forestry and Other Land Use,ALM,VM0051,Under validation,Thailand,Asia,54645,VCS Version 3,,2025-11-01,2032-10-31,2025-11-24
5809,Figure 8 Environmental Advanced Solid Separation Grouped Project,"3Degrees Group, Inc.","Livestock, enteric fermentation, and manure management",,AMS-III.Y,Under validation,United States,North America,10000,VCS Version 3,,2025-11-28,2032-11-27,2025-11-19
5807,REGENERATIVE AGRICULTURE CARBON OFFSETTING (RACO) GROUP PROJECT,New Energy Centre Malaysia Sdn Bhd,Agriculture Forestry and Other Land Use,ALM,VM0042,Under development,Malaysia,Asia,13387,VCS Version 3,,2025-12-01,2045-11-30,2025-11-18
5805,Mangrove Mitra: Community-Led Coastal Resilience,Climeverse Private Limited dba Equilibrium,Agriculture Forestry and Other Land Use,ARR; WRC,VM0033,Under validation,India,Asia,50553,VCS Version 3,,2025-10-13,2065-10-12,2025-11-17
5806,Tausi Tanzania,New Forests Company Holdings I Limited,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Tanzania,Africa,266196,VCS Version 3,,2022-11-01,2062-10-31,2025-11-17
5802,Suledo Community ARR Project (Mradi wa jamii wa Suledo wa Hewa kaboni),Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,VM0047,Under development,Tanzania,Africa,62406,VCS Version 3,,2025-04-12,2065-04-11,2025-11-14
