resourceIdentifier,resourceName,proponent,protocolCategories,protocolSubCategories,protocols,resourceStatus,country,region,estAnnualEmissionReductions,version,projectRegistrationDate,creditingPeriodStartDate,creditingPeriodEndDate,createDate
975,Chongqing Chengkou County Bashan Hydropower Station Project,"Chongqing Bashan Hydropower Development Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,Asia,382839,VCS Version 3,2020-04-06,,,2017-04-04
976,Xinjiang Huaneng Toksun Baiyanghe Phase II Wind Power project,"Huaneng Turpan Wind Power Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,Asia,93156,VCS Version 3,2020-04-06,2019-08-26,2026-08-25,2017-04-03
992,The Capture and Utilisation of Methane at the GFI Mining South Africa owned Beatrix Mine in South Africa,Sibanye Gold Ltd,Fugitive emissions from production and consumption of halocarbons and sulphur hexafluoride,,AM0064,Late to verify,South Africa,Africa,9643,VCS Version 3,2020-04-06,,,2017-04-03
980,Kaiyuan Yemin 49.5 MW Wind Power Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,Asia,110668,VCS Version 3,2020-04-06,,,2017-04-03
1674,Gilé National Reserve REDD Project,National Mozambican Public Agency for Parks and Reserves Conservation (ANAC),Agriculture Forestry and Other Land Use,REDD,VM0007,Late to verify,Mozambique,Africa,68821,VCS Version 3,2020-11-16,2012-01-01,2031-12-31,2017-04-03
1092,"SOLAR POWER PROJECT IN GUJARAT, INDIA BY WAA SOLAR LIMITED",Waa Solar Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,Asia,13712,VCS Version 3,2020-06-04,,,2017-04-03
1093,Solar Power Project by Sai Sudhir Energy Limited,Saisudhir Energy Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,Asia,8117,VCS Version 3,2020-04-06,,,2017-04-03
1098,Anhui Suzhou 2X12.5 MW Biomass Power Generation Project,"Huadian Suzhou Biomass Power Industrial Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0006,Late to verify,China,Asia,123447,VCS Version 3,2020-04-06,,,2017-04-03
1109,Mithapur Solar Power Project,Tata Power Renewable Energy Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,Asia,37696,VCS Version 3,2020-04-06,,,2017-04-03
1153,Shade Coffee & Cacao Reforestation Project,Société de gestion de projets ECOTIERRA Inc.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Peru,Latin America,1969139,VCS Version 3,2020-04-06,2013-09-30,2053-09-29,2017-04-03
1199,Bugoye 13.0 MW Run-of-River Hydropower Project,Bugoye Hydro Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Uganda,Africa,51074,VCS Version 3,2020-04-06,,,2017-04-03
1205,Tatar Hydro Electricity Power Plant,Darenhes Elektrik Uretimi A.S.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,Middle East,231898,VCS Version 3,2020-04-06,2023-11-14,2033-11-13,2017-04-03
1222,"Kaiyang 15100 Rural Methane Digesters Project in Guizhou Province, China","Guizhou Haikang Marsh gas Material Trade Co,Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management",,AMS-III.R.,Late to verify,China,,48486,VCS Version 3,2020-04-06,,,2017-04-03
1225,Kenya Agricultural Carbon Project,Vi Agroforestry Programme,Agriculture Forestry and Other Land Use,ALM,VM0017,Late to verify,Kenya,Africa,99004,VCS Version 3,2020-04-06,2009-07-01,2029-06-30,2017-03-31
1226,Anhui Zhongxing Shouchuang Energy-Saving Service Co. Ltd. Biomass Boiler Retrofitting Project,Anhui Zhongxing Shouchuang Energy-saving Service,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Late to verify,China,,33281,VCS Version 3,2020-04-06,,,2017-03-31
1208,Nam Chim Hydro Power Project,Song Lam Construction and Investment Company Ltd,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,Viet Nam,Asia,26748,VCS Version 3,2020-04-06,,,2017-03-31
1204,Guohua Wulate Zhongqi Phase I 49.5 MW Wind farm Project,"Guohua Bayannaoer (Wulate Zhongqi) Wind Power Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,,133685,VCS Version 3,2020-04-06,,,2017-03-31
1192,"Metro Line 1 Lima, Peru",Auto. Authority Electrical Mass Transit Sys - AATE,Transport,,ACM0016,Late to verify,Peru,Latin America,85841,VCS Version 3,2020-04-06,,,2017-03-31
1173,San Andres Hydroelectric project,Celsia Colombia S.A. E.S.P.,Energy industries (renewable/non-renewable sources),,ACM0002,Withdrawn,Colombia,Latin America,47317,VCS Version 3,2020-04-06,,,2017-03-31
1156,Kiran Energy Solar PV Project,Solarfield Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,India,Asia,17203,VCS Version 3,2020-04-06,,,2017-03-31
1157,Saraff Energy EFB to electricity project,Saraff Energies Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,Thailand,Asia,28104,VCS Version 3,2020-04-06,2019-06-01,2026-05-31,2017-03-31
1148,Luofan 24MW Hydropower Project in Guizhou Province China,Guizhou Zhongshui Energy Co.Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,,55857,VCS Version 3,2020-04-06,2021-12-05,2031-12-04,2017-03-31
1100,SANIBEY DAM AND HYDROELECTRIC POWER PLANT,SANKO Enerji Sanayi ve Ticaret A.Ş,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,Middle East,524729,VCS Version 3,2020-04-06,2020-12-02,2030-12-01,2017-03-31
1119,RFC Grouped Wind Projects Phase II,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,United States,North America,3160,VCS Version 3,2020-04-06,,,2017-03-31
1229,Fronteira and Novicel Ceramics Fuel Switching Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Late to verify,Brazil,,23713,VCS Version 3,2020-04-06,2021-01-01,2030-12-31,2017-03-30
1231,"Mordogan Wind Power Project, Turkey",Egenda Ege Enerji Uretim A.S,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Turkey,Middle East,26593,VCS Version 3,2020-04-06,2016-06-24,2026-06-23,2017-03-30
1232,"Yaylaköy Wind Power Project, Turkey",Yaylaköy RES Elektrik Üretim A.Ş.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Turkey,Middle East,24302,VCS Version 3,2020-04-06,,,2017-03-30
1287,Kavsakbendi Hydroelectric Power Plant,Enerjisa Enerji Uretim  A.S.,Energy industries (renewable/non-renewable sources),,ACM0002,Verification approval requested,Turkey,Middle East,349888,VCS Version 3,2020-04-06,2023-12-19,2033-12-18,2017-03-29
1288,Bundled small scale wind energy VCS project activity by Envarrior Consulting Services-I,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,Asia,3277,VCS Version 3,2020-04-06,,,2017-03-29
1296,Tuana 7.66 MW Hydroelectric Power Plant,AÞKALE Elektrik Üretim A.Þ,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,Turkey,Middle East,7713,VCS Version 3,2020-04-06,,,2017-03-29
933,6.25 MW wind power project by VELATAL SPINNING MILLS PVT LTD,VELATAL SPINNING MILLS PRIVATE LIMITED,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Inactive,India,Asia,12476,VCS Version 3,2012-12-05,,,2017-03-29
1311,"Carbon Emissions Reduction Project in the Corridor Ankeniheny-Zahamena (CAZ) Protected Area, Madagascar","Govt. of Madagascar, Direction Generale des Forets",Agriculture Forestry and Other Land Use,REDD,VM0015,Late to verify,Madagascar,Africa,1011973,VCS Version 3,2020-04-06,2007-12-30,2037-12-29,2017-03-29
1322,"Buyukduz Hydroelectric Power Plant, Turkey",Ayen Enerji A.S.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,Middle East,88708,VCS Version 3,2020-04-06,,,2017-03-29
1336,Oylat Hydroelectric Power Plant,ETKEN Elektrik Uretim Ltd.Şti.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Turkey,Middle East,4281,VCS Version 3,2020-04-06,,,2017-03-28
1333,Dagbasi Hydroelectric Power Plant,ALPEREN A.S.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Turkey,Asia,20370,VCS Version 3,2020-04-06,,,2017-03-28
1355,4.2 MW renewable energy based power generation project in Andhra Pradesh by Hi- Tech,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,Asia,8152,VCS Version 3,2020-04-06,,,2017-03-28
1357,Waste Heat Recovery by Redesigning Skids at Reheat Furnace #2 of Erdemir,Eregli Demir ve Celik Fabrikalari T.A.S.,Manufacturing industries,,AMS-III.Q,Late to verify,Turkey,Middle East,12217,VCS Version 3,2020-04-06,,,2017-03-27
1352,"Bundled Wind Power Project in Tamilnadu, India, co-ordinated by Tamilnadu Spinning Mills Association (TASMA V1A)",TAMILNADU SPINNING MILLS ASSOCIATION (TASMA),Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,India,Asia,83772,VCS Version 3,2014-08-07,,,2017-03-27
1672,Musokotwane REDD+ Project,Zambruss Enterprises,Agriculture Forestry and Other Land Use,REDD,VM0009,Withdrawn,Zambia,Africa,1100000,VCS Version 3,,2017-06-01,2047-05-31,2017-03-24
1673,AAC Block Project By HIL Limited,Hyderabad Industries Limited,Manufacturing industries,,AMS-III.Z,Registered,India,Asia,21636,VCS Version 3,2021-05-05,,,2017-03-24
1671,"Wind based power generation by Panama Wind Energy Private Limited in Maharashtra, India",Panama Wind Energy Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,Asia,186270,VCS Version 3,2020-04-06,,,2017-03-22
1241,Veer (NLBC) Small Hydro Power Project,Mahati Hydro Power Projects Private Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,Asia,10067,VCS Version 3,2020-04-06,2022-05-20,2032-05-19,2017-03-22
1670,Bundled Solar Power Project by D.J. Malpani and Giriraj Enterprises,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Verification approval requested,India,Asia,93022,VCS Version 3,2020-04-06,,,2017-03-21
1669,Bundled Wind Power Project by Giriraj Enterprises,Giriraj Enterprises,Energy industries (renewable/non-renewable sources),,ACM0002,Verification approval requested,India,Asia,83279,VCS Version 3,2020-04-06,,,2017-03-20
1012,"Umut-I Hydropower Plant, Turkey",RHG Enerturk Enerji Uretim ve Tic. A.S.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Turkey,Asia,7673,VCS Version 3,2013-04-01,,,2017-03-20
488,"82 MW Lau Renun Hydro Power Plant, North Sumatra",PT. PLN (Persero),Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Indonesia,Asia,270019,VCS Version 3,2011-12-21,2016-09-01,2026-08-31,2017-03-16
415,VP Biosupply Wastewater Treatment and Biogas Utilization Project,Multiple Proponents,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.C.; AMS-III.H.,Registered,Thailand,,16563,VCS Version 3,2020-04-06,,,2017-03-16
416,SD Biosupply Wastewater Treatment and Biogas Utilization Project,SD Biosupply Co. Ltd.,Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.C.; AMS-III.H.,Registered,Thailand,,51316,VCS Version 3,2020-04-06,,,2017-03-16
426,"Wastewater Treatment with Biogas System in Palm Oil Mill at Sawi, Chumporn,Thailand","The Natural Palm Oil (Chumporn) Co., Ltd.",Waste handling and disposal,,AMS-I.D.; AMS-III.H.,Late to verify,Thailand,Asia,35028,VCS Version 3,2020-04-06,2016-06-01,2026-05-31,2017-03-16
427,Chol Charoen Group Wastewater Treatment with Biogas System I (Khonkaen),"Kean Charoen Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.C.; AMS-I.D.; AMS-III.H.,Registered,Thailand,Asia,16280,VCS Version 3,2020-04-06,2019-07-15,2029-07-14,2017-03-16
428,Chol Charoen Group Wastewater Treatment with Biogas System I (Chacherngsao),"S.C. Industry Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,AMS-I.C.; AMS-I.D.; AMS-III.H.,Registered,Thailand,Asia,13108,VCS Version 3,2020-04-06,2019-07-15,2029-07-14,2017-03-16
1368,Urla Wind Power Plant,Hassas Teknik Enerji Elektrik Uretim Sanayi ve Ticaret A.S.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,Middle East,34298,VCS Version 3,2020-04-06,2016-10-20,2026-10-19,2017-03-16
1416,Umurlu GeoThermal Power Plant,KARYEK KARADENIZ ELEKTRIK URETIM A.S.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,Middle East,95422,VCS Version 3,2020-04-06,,,2017-03-15
471,"The Bogeda 40.5 MW Wind-Farm Project in Urumqi, Xinjiang, China",The CECIC Wind Power (Xinjiang) Co. Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,Asia,118786,VCS Version 3,2020-04-06,,,2017-03-13
759,"Camlica-3 HPP, Run-of-River Hydro Project, Turkey",Elen Enerji Uretimi Sanayi Ticaret A.S.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,Middle East,48232,VCS Version 3,2020-04-06,,,2017-03-13
1286,Ishasha 6.6 MW Small Hydropower Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Uganda,Africa,19027,VCS Version 3,2015-02-11,,,2017-03-08
497,"18.86 MW Bundled Wind Power Project, India",Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,India,Asia,30398,VCS Version 3,2020-04-06,2022-01-01,2028-12-31,2017-03-06
1667,Çerçikaya Wind Power Project,ZT Enerji Elektrik Üretim San. Ve Tic. A.S.,Energy industries (renewable/non-renewable sources),,ACM0002,Verification approval requested,Turkey,Asia,101473,VCS Version 3,2021-09-20,,,2017-03-02
1666,Move Systems Grouped Project. Fuel Switching in Food Carts and Ambulances Electrification in NYC,Multiple Proponents,Energy demand,,AMS-III.B.,Late to verify,United States,North America,8863,VCS Version 3,2017-03-29,,,2017-03-01
1035,Inner Mongolia Keshiketeng County Wutaohai South Wind Farm 49.5 MW Project,"Keshiketeng County Huifeng New Energy Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,Asia,128803,VCS Version 3,2020-04-06,2019-11-01,2026-10-31,2017-02-27
1665,HPP Project Liberia,Liberian Agricultural Company,Energy industries (renewable/non-renewable sources),,Methodology Under Development,Registered,Liberia,Africa,3580,VCS Version 3,2020-04-06,2016-06-19,2026-06-18,2017-02-21
1664,Yunnan Xishuangbanna Improved Forest Management Project,"Xishuangbanna Forestry Bureau of Yunnan province, P.R.China.",Agriculture Forestry and Other Land Use,IFM,VM0010,On Hold - see notification letter,China,Asia,68100,VCS Version 3,2020-04-06,2012-01-01,2031-12-31,2017-02-17
1663,Fazenda Sao Paulo Afforestation,MARONESE SERVICOS AGRICOLAS E LOCACAO LTDA,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,On Hold - see notification letter,Brazil,Latin America,19380,VCS Version 3,2020-06-16,2013-01-01,2032-12-31,2017-02-15
716,Gansu Guazhou Xiangyang Phase II Wind Power Project,"Gansu Xinan Wind Power Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,Asia,429403,VCS Version 3,2020-04-06,,,2017-02-15
1662,Improved Jikos Project in Kenya,ClimateCare Limited,Energy demand,,AMS-II.G.,Under validation,Kenya,Africa,40064,VCS Version 3,,,,2017-02-13
1661,Costa Rica Grouped Wind Project,"Alisios Holdings, S.A.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Costa Rica,Latin America,92710,VCS Version 3,2017-01-08,2016-12-09,2026-12-08,2017-02-13
1660,Wind bundle project in Maharashtra by Sispara,M/s Sispara Renewable Power Private Limited,Energy industries (renewable/non-renewable sources),,ACM0002,Verification approval requested,India,Asia,60746,VCS Version 3,2017-02-14,,,2017-02-06
1143,Ningxia Angli Lingwu Photovoltaic Grid Connected Power Plant Project,"Datang Angli (Lingwu) New Energy Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,,48402,VCS Version 3,2013-11-12,2021-12-28,2031-12-27,2017-02-03
143,Bandeira and Capelli Ceramics Fuel Switching Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Registered,Brazil,Latin America,14882,VCS Version 3,2020-04-06,,,2017-02-01
201,Barbosa Ceramic Fuel Switching Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Verification approval requested,Brazil,Latin America,19971,VCS Version 3,2020-06-04,2017-12-01,2027-11-30,2017-01-27
1659,Reduction of CO2 Emissions by Glass Recycling,Rhenus Recycling GmbH,Waste handling and disposal,,AMS-III.AJ.,Under development,Germany,Europe,460,VCS Version 3,,,,2017-01-25
1658,Tugela Mill Fuel Switching Project - CER Conversion,Credits transferred from approved GHG program,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Units Transferred from Approved GHG Program,South Africa,Africa,55912,VCS Version 3,,,,2017-01-24
1654,Fortaleza Ituxi REDD Project,Fazenda Nossa Senhora das Cachoeiras do Ituxi,Agriculture Forestry and Other Land Use,REDD,VM0015,On Hold - see notification letter,Brazil,Latin America,137675,VCS Version 3,2020-06-04,2013-12-15,2043-12-14,2017-01-23
1656,Zhangbei Manjing Windfarm Project - CER Conversion,Credits transferred from approved GHG program,Energy industries (renewable/non-renewable sources),,ACM0002,Units Transferred from Approved GHG Program,China,Asia,94095,VCS Version 3,,,,2017-01-23
1657,"Grouped Project REDD+ conservation of the Oak ecological corridor Guantiva – La Rusia – Iguaque, Colombia",Fundación Natura,Agriculture Forestry and Other Land Use,REDD,VM0015,Under validation,Colombia,Latin America,110,VCS Version 3,,2015-03-14,2045-03-13,2017-01-23
758,Saracbendi HPP Run-of-River Hydro Project,Elen Enerji Uretimi Sanayi Ticaret A.S.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Turkey,Middle East,55170,VCS Version 3,2020-04-06,2021-05-06,2031-05-05,2017-01-23
558,Ituiutaba Ceramic Fuel Switching Project,Multiple Proponents,Energy industries (renewable/non-renewable sources),,AMS-I.E.,Registered,Brazil,Latin America,13623,VCS Version 3,2020-06-04,2018-07-01,2028-06-30,2017-01-20
1652,Centrale Solaire de Malicounda - Groupe Solaria,SENELEC,Energy industries (renewable/non-renewable sources),,ACM0002,Under development,Senegal,Africa,26547,VCS Version 3,,2016-09-07,2026-09-06,2017-01-19
1650,Reduced Emissions from Deforestation and Degradation in Keo Seima Wildlife Sanctuary,"Royal Government of Cambodia (RGC), Ministry of Environment",Agriculture Forestry and Other Land Use,REDD,VM0015,Registered,Cambodia,Asia,1426648,VCS Version 3,2020-04-06,2010-01-01,2069-12-31,2017-01-18
1651,AAC Block Manufacturing Using Energy Efficient Technology by JKLCL,JK Lakshmi Cement Ltd.,Manufacturing industries,,AMS-III.Z,Late to verify,India,Asia,36684,VCS Version 3,2017-08-08,,,2017-01-18
889,BRASCARBON Methane Recovery Project BCA-BRA-03.,"Brascarbon Cosultoria, Projetos e Represetacao Ltd","Livestock, enteric fermentation, and manure management",,AMS-III.D.,Late to verify,Brazil,Latin America,43535,VCS Version 3,2012-09-11,,,2017-01-18
878,"BRASCARBON Methane Recovery Project BCA-BRA-02, Brazil.",Brascarbon Cosultoria Projetos e Represetacao SA,"Livestock, enteric fermentation, and manure management",,AMS-III.D.,Late to verify,Brazil,,45146,VCS Version 3,2012-08-10,,,2017-01-18
845,"BRASCARBON Methane Recovery Project BCA-BRA-08, Brazil",Brascarbon Cosultoria Projetos e Represetacao SA,"Livestock, enteric fermentation, and manure management",,AMS-III.D.,Late to verify,Brazil,Latin America,46678,VCS Version 3,2012-06-20,,,2017-01-18
846,"BRASCARBON Methane Recovery Project BCA-BRA-05, Brazil",Brascarbon Cosultoria Projetos e Represetacao SA,"Livestock, enteric fermentation, and manure management",,AMS-III.D.,Late to verify,Brazil,Latin America,52511,VCS Version 3,2012-06-20,,,2017-01-18
1644,Larimar Wind Farm Project,EMPRESA GENERADORA DE ELECTRICIDAD HAINA S.A. (EGE HAINA),Energy industries (renewable/non-renewable sources),,ACM0002,Registered,Dominican Republic,Latin America,265391,VCS Version 3,2017-06-15,2016-08-01,2026-07-31,2017-01-17
1643,The New Horizons (ATHLONE) Waste to Energy Project,New Horizons Waste to Energy (Pty) Ltd,Waste handling and disposal,,ACM0022,Under development,South Africa,Africa,30438,VCS Version 3,,2017-06-01,2027-05-31,2017-01-13
942,ROCHELLE LANDFILL METHANE RECOVERY AND DESTRUCTION PROJECT,"William Charles Energy, LLC",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Withdrawn,United States,North America,100000,VCS Version 3,,2021-02-09,2031-02-08,2017-01-11
993,"TIST Program in Uganda, VCS 005",Clean Air Action Corporation,Agriculture Forestry and Other Land Use,ARR,AR-AMS0001,Registered,Uganda,Africa,19342,VCS Version 3,2013-03-13,2003-01-01,2032-12-31,2017-01-06
994,"TIST Program in India, VCS-001",Clean Air Action Corporation,Agriculture Forestry and Other Land Use,ARR,AR-AMS0001,Registered,India,Asia,11047,VCS Version 3,2013-03-13,2004-01-01,2033-12-31,2017-01-06
995,"TIST Program in Uganda, VCS 006",Clean Air Action Corporation,Agriculture Forestry and Other Land Use,ARR,AR-AMS0001,Registered,Uganda,Africa,7787,VCS Version 3,2013-03-13,2006-01-01,2035-12-31,2017-01-06
1015,"Community-based reforestation project on degraded lands in Uttar Pradesh, India by Indian Farm Forestry Development Co-operative Limited",Indian Farm Forestry Development Co-operative Limited,Agriculture Forestry and Other Land Use,ARR,AR-AMS0005,Verification approval requested,India,Asia,5651,VCS Version 3,2013-10-08,2008-07-15,2038-07-14,2017-01-06
824,"TIST Program in Uganda, VCS 001",Clean Air Action Corporation,Agriculture Forestry and Other Land Use,ARR,AR-AMS0001,Late to verify,Uganda,Africa,24348,VCS Version 3,2012-05-22,2003-01-01,2032-12-31,2017-01-06
825,"TIST Program in Uganda, VCS 002",Clean Air Action Corporation,Agriculture Forestry and Other Land Use,ARR,AR-AMS0001,Late to verify,Uganda,Africa,4801,VCS Version 3,2020-04-06,2003-01-01,2032-12-31,2017-01-06
826,"TIST Program in Uganda, VCS 004",Clean Air Action Corporation,Agriculture Forestry and Other Land Use,ARR,AR-AMS0001,Registered,Uganda,Africa,2958,VCS Version 3,2012-05-22,2003-01-01,2032-12-31,2017-01-06
827,"TIST Program in Uganda, VCS 003",Clean Air Action Corporation,Agriculture Forestry and Other Land Use,ARR,AR-AMS0001,Registered,Uganda,Africa,13112,VCS Version 3,2012-05-23,2003-01-01,2032-12-31,2017-01-06
1332,"Reforestation Project in Yingjing County, Sichuan Province",Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,On Hold - see notification letter,China,Asia,3365,VCS Version 3,2014-10-22,2011-04-01,2041-03-31,2017-01-06
899,"TIST Program in Kenya, VCS 006",Clean Air Action Corporation,Agriculture Forestry and Other Land Use,ARR,AR-AMS0001,Registered,Kenya,Africa,233275,VCS Version 3,2012-10-01,2004-01-01,2033-12-31,2017-01-06
1147,Amazon Rio IFM,Empresa Brasileira de Conservacao de Florestas(EBCF),Agriculture Forestry and Other Land Use,IFM,VM0011,Verification approval requested,Brazil,Latin America,61238,VCS Version 3,2020-06-04,2013-06-05,2049-06-04,2017-01-06
1080,Reforestation with Native Species in the Pachijal and Mira River Watersheds for Carbon Retention,Multiple Proponents,Agriculture Forestry and Other Land Use,ARR,AR-AMS0007,Under development,Ecuador,Latin America,6973,VCS Version 3,,2011-11-01,2041-10-31,2017-01-06
643,"16.0 MW bagasse based cogeneration project at Ahmadnagar, Maharashtra by M/s Mula Sahakari Sakhar Karkhana Ltd.",M/s Mula Sahakari Sakhar Karkhana Ltd.,Energy industries (renewable/non-renewable sources),,ACM0006,Late to verify,India,Asia,33452,VCS Version 3,2020-04-06,,,2017-01-04
644,"27.95MW Wind Energy Project in Coimbatore District in Tamilnadu, India.",LAKSHMI MACHINE WORKS LTD,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,Asia,60778,VCS Version 3,2011-07-08,,,2017-01-04
1366,2 x 2MW wind project by Bansal Windmills Pvt. Ltd.,Bansal WindMill Pvt. Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,Asia,8885,VCS Version 3,2015-06-18,,,2017-01-04
266,18.2 MW Grouped Wind Power Project in Maharashtra by Navalakha Translines,Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,India,Asia,27830,VCS Version 3,2009-12-31,,,2017-01-04
292,"150 MW grid connected Wind Power based electricity generation project in Gujarat, India.",Vayu (Project 1) private limited,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,Asia,326203,VCS Version 3,2020-04-06,,,2017-01-04
308,"2.45 MW Wind Power Project in Rajasthan, India by Yamuna Power and Infrastructure Ltd.",Yamuna Power & Infrastructure Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,Asia,3921,VCS Version 3,2020-04-06,,,2017-01-04
590,2.25 MW rice husk based cogeneration plant at Siddeshwari Industries Pvt. Ltd.,Siddeshwari Industries Pvt Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Late to verify,India,Asia,17814,VCS Version 3,2020-04-06,2020-10-01,2027-09-30,2017-01-04
568,"15 MW grouped grid connected wind energy project in Gujarat, India",C. Mahendra Exports Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,Asia,27384,VCS Version 3,2011-02-17,,,2017-01-04
133,15 MW grid-connected wind power project by MMTC in Karnataka,MMTC Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,Asia,21927,VCS Version 3,2020-04-06,,,2017-01-04
1624,"Biomass Based Cogeneration Project by CG GROUP, NEPAL",CG Brewery (Nepal) Pvt. Ltd,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,Nepal,Asia,47925,VCS Version 3,2023-07-20,2016-09-01,2026-08-31,2017-01-04
678,"16.45 MW bundled grid connected renewable energy project in Tamil Nadu, India.",Multiple Proponents,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,India,Asia,36518,VCS Version 3,2020-06-04,,,2017-01-04
869,"2 x 3.5 MW Ullunkal Hydro Power Project in Kerala, India.",EDCL Power Projects Limited,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Late to verify,India,Asia,16125,VCS Version 3,2020-04-06,,,2017-01-04
1623,Denizli Bundled Solar Project,Yesilvadi Elektrik Üretim A.S.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,Turkey,Asia,6818,VCS Version 3,2020-04-06,,,2016-12-30
1622,REDD+ Project for Caribbean Guatemala: The Conservation Coast,Fundacion para el Ecodesarrollo y la Conservacion [FUNDAECO],Agriculture Forestry and Other Land Use,REDD,VM0015,Verification approval requested,Guatemala,Latin America,728161,VCS Version 3,2020-06-04,2012-04-01,2042-03-31,2016-12-29
154,"Shunchang Yangkou Hydro Power Project, Fujian, China",Xiamen HSE Environmental Engineering Consulting,Energy industries (renewable/non-renewable sources),,ACM0002,Late to verify,China,Asia,147709,VCS Version 3,2009-10-23,,,2016-12-24
658,"Reforestation of pastures in Campo Verde with native species, Pucallpa, Peru",Bosques Amazónicos,Agriculture Forestry and Other Land Use,ARR,AR-AM0003,Late to verify,Peru,Latin America,5600,VCS Version 3,2020-04-06,,,2016-12-22
