resourceIdentifier,resourceName,country,protocols,protocolSubCategories,estAnnualEmissionReductions,n_peers,loo_mean,M1,M2,M4
5523,"Pama project, Central African Republic",Central African Republic,VM0047,ARR,222414,1,,,,
5520,The Pekanbaru Suntara Peatland Project (PSPP),Indonesia,VM0007; VM0047,ARR; REDD; WRC,665596,3,700032.0,632853.9769839093,2.0,0.6666666666666666
5515,Arbonics Afforestation Project Four,Latvia,VM0047,ARR,9875,2,364.0,267900.06868131866,2.0,1.0
5516,Arbonics Afforestation Project Three,Estonia,VM0047,ARR,3009,2,604.0,14990.200331125829,2.0,1.0
5517,AfriScout Regenerative Grazing Project,Ethiopia,VM0042,ALM,163211,1,,,,
5518,San Miguelito afforestation project with exotic and native species in Northeast Argentina.,Argentina,VM0047,ARR,14964,13,52001.166666666664,4306.082158413113,4.0,0.3076923076923077
5514,Sustainable Grassland Management Project in Arkhangai Province,Mongolia,VM0042,ALM,200000,7,375000.0,106666.66666666667,4.5,0.6428571428571429
5511,Brazil Cerrado 1,Brazil,VM0047,ARR,351328,16,321143.86666666664,384349.1232299211,15.0,0.9375
5509,Promoting Sustainable Agricultural Land Management Practices for Climate Resilience,India,VM0042,ALM,76656,27,838509.2307692308,7007.84454168662,15.0,0.5555555555555556
5510,Project Caraga,Philippines,VM0048,REDD,2400000,2,316691.0,18188076.074154302,2.0,1.0
5506,uMkhanyakude Restoration Project,South Africa,VM0032,ALM,273453,4,306065.6666666667,244315.35893386713,3.0,0.75
5500,Drawn Carbon ARR Foundations Project,Guatemala,VM0047,ARR,4812500,2,5473.0,4231711355.7463913,2.0,1.0
5501,Drawn Carbon REDD Foundations Project,Guatemala,VM0048,REDD,380952,1,,,,
5496,NZ FR Project 2,New Zealand,VM0012,IFM,10000,2,10000.0,10000.0,1.5,0.75
5489,Los Llanos de Apan: Ecological Restoration,Mexico,VM0047,ARR,12352,2,155694.0,979.9472298226008,1.0,0.5
5484,Hachijojima IFM Project,Japan,VM0045,IFM,4,2,22767.0,0.0007027715553212984,1.0,0.5
5485,German Forest Restoration: Rebuilding Climate-Resilient Forests After Bark Beetle Damage,Germany,VM0047,ARR,4213,1,,,,
5486,Green Mpumalanga Project (GMP),South Africa,VM0032,ALM,72392,4,373086.0,14046.631779268051,1.0,0.25
5483,Lake Victoria Watershed Agroforestry Carbon Project II,Uganda,VM0047,ARR,500000,4,61809.666666666664,4044674.7811830947,4.0,1.0
5474,Pahang Peatland Restoration Project,Malaysia,VM0007; VM0047,ARR; REDD; WRC,2400000,1,,,,
5475,KUBURAYA MANGROVE: CONCESSION TO CONSERVATION PROJECT,Indonesia,VM0007; VM0011,IFM; REDD; WRC,2081242,1,,,,
5469,"Alternate Wetting and Drying in Rice Cultivation in An Giang Province, Viet nam",Viet Nam,VM0051,ALM,590682,1,,,,
5459,Savannakhet Town IFM (conversion of logged to protected forest) Project,Lao,VM0010,IFM,280463,2,276496.0,284486.9161543024,2.0,1.0
5460,Savannakhet Town Afforestation Project,Lao,VM0047,ARR,296030,2,274380.0,319388.29688752827,2.0,1.0
5461,Louang Namtha IFM (conversion of logged to protected forest) Project,Lao,VM0010,IFM,276496,2,280463.0,272585.11110556475,1.0,0.5
5462,Louang Namtha Afforestation Project,Lao,VM0047,ARR,274380,2,296030.0,254313.3614836334,1.0,0.5
5463,Khammouan REDD Project,Lao,VM0007,REDD,240965,1,,,,
5464,Muyuchi,Peru,VM0047,ARR,10000,3,85218.0,1173.4610058907742,2.0,0.6666666666666666
5458,Sanggala Corridor Project,Indonesia,VM0007; VM0047,ARR; REDD,177514,1,,,,
5457,TanzaBlue,Tanzania,VM0033,ARR; WRC,31667,1,,,,
5456,BissauBlue,Guinea-Bissau,VM0033,ARR; WRC,102283,1,,,,
5453,NativState - Afforestation in the Mississippi River Alluvial Valley,United States,VM0047,ARR,148361,5,2255923.25,9756.974808872597,3.0,0.6
5451,Kenya Climate Smart Agriculture Program,Kenya,VM0042,ALM,37448,7,480243.3333333333,2920.087811040237,1.0,0.14285714285714285
5446,Boreal Carbon - Project Gamma I,Mongolia,VM0047,ARR,300000,4,3980283.6666666665,22611.453739771143,1.0,0.25
5448,"BLUERIZON PROJECT: BLUE CARBON PROJECT ON TIDAL WETLAND OF MANGROVES IN JAVA-1, INDONESIA",Indonesia,VM0033,ARR; WRC,101974,3,542183.0,19179.311553479176,2.0,0.6666666666666666
5442,PROYECTO REDD+ JUNTOS POR LOS BOSQUES,Peru,VM0048,REDD,139695,6,162233.4,120287.7645725233,4.0,0.6666666666666666
5439,NOMOLENE YINE IFM PROJECT,Peru,VM0010,IFM,242645,5,495226.5,118888.21786596638,2.0,0.4
5437,Rewetting of the Paltinskoye Peatland for Climate Resilience in Perm Krai,Russian Federation,VM0036,WRC,2813,1,,,,
5432,Kwahu Landscape Restoration Project,Ghana,VM0047,ARR,751718,5,129760.5,4354791.724168757,5.0,1.0
