n_obs,RMSE,MAE,Bias_actual_minus_shadow,R2,Spearman,Pearson,Within_3pts,Within_6pts,Country
26,6.759722250070136,4.862871663307025,2.431870473308132,-2.332150933237437,-0.08150517141876774,-0.07815682354104997,0.5384615384615384,0.6923076923076923,Kuwait
26,6.774838876401288,6.651692808589622,6.651692808589622,-29.988610893992544,0.552851195571145,0.6650781864210352,0.0,0.3076923076923077,Australia
26,6.835475159884653,6.399816348719226,6.399816348719226,-5.639738315557385,0.31465640721694366,0.4343784173803174,0.15384615384615385,0.34615384615384615,United Kingdom
26,6.925826281222055,5.747451190682268,-3.4777933839915556,-5.032415069457661,-0.6286059556403268,-0.5615459861146957,0.38461538461538464,0.5,Mongolia
26,7.0007435048512265,5.8634754814100525,-2.0675334584644314,0.07906027328220266,0.4862249641051593,0.4017704022626618,0.23076923076923078,0.6538461538461539,Oman
26,7.011683225717341,6.315094660162244,6.213203852762276,-0.8170947140883991,0.43639733426901234,0.8275220086328723,0.15384615384615385,0.46153846153846156,Slovakia
22,7.0873759862401275,6.05745933080986,-3.780059460444089,-3.592105550595699,-0.8211515125374218,-0.8194574950593105,0.2727272727272727,0.5,Montenegro
12,7.2175841951650535,6.788808407289985,1.8597809162048158,-0.11728732684817955,-0.2111239277438628,-0.12171420459866807,0.16666666666666666,0.3333333333333333,Ethiopia
26,7.340260877207329,6.8483738833918,6.8483738833918,-44.98799811607487,0.3876588026123319,0.40401039334393535,0.038461538461538464,0.34615384615384615,Guatemala
26,7.5579289100517295,7.504611506183295,7.504611506183295,-174.5212165488705,0.23569476880985657,0.2602793514296932,0.0,0.07692307692307693,United States
22,7.640994150089441,6.998371647125079,6.667748422125166,-0.9756516270933748,0.5950761430483757,0.7494150891811485,0.13636363636363635,0.4090909090909091,Russia
11,7.686450605546401,7.0530063985588045,-7.0530063985588045,-175.51516721708794,-0.5217491947499509,-0.61265968396525,0.18181818181818182,0.2727272727272727,Iraq
25,7.900984254073925,7.6347854744862005,7.6347854744862005,-22.24454579353742,0.33323175928525567,0.39276105246663434,0.0,0.28,Botswana
26,7.94987309784646,6.657029886131483,6.262504159487457,-1.2551346537756305,0.2890927456699313,0.4170165131097581,0.2692307692307692,0.5,Saudi Arabia
26,8.032578741747935,7.861254252223753,0.8742318644207345,-0.15245829682271883,-0.45915471834785254,-0.4705962191906168,0.0,0.11538461538461539,Italy
26,8.113815065135428,5.817146178703633,-4.62668347342265,-0.9938969784938978,-0.043037739228240904,-0.0588604032793121,0.46153846153846156,0.5769230769230769,Ukraine
6,8.121877755907503,7.926379828160549,-7.926379828160549,-31.982449140952554,-0.20701966780270628,-0.17265218509295507,0.0,0.16666666666666666,Swaziland
25,8.237001713422348,7.78529246004553,-7.5619002525159384,-7.709205846544814,0.6672862374924131,0.5499075609076839,0.08,0.2,Moldova
26,8.305460140984092,7.218099975607197,7.218099975607197,-0.8951811287034923,0.8366363919753786,0.8538634376368229,0.23076923076923078,0.3076923076923077,Peru
13,8.466438944281654,7.65451709162976,-3.699127413440624,-2.052159092752605,0.03416101020611147,-0.39039496633745835,0.23076923076923078,0.23076923076923078,Republic of the Congo
26,8.476160960618113,8.043550826133016,8.043550826133016,-9.404332889907293,0.2404111204603171,0.15241460401400828,0.038461538461538464,0.19230769230769232,France
26,8.518958989541213,7.829655351809942,-2.2986788923205013,-0.526882601021402,-0.44950772910234577,-0.3746250749243348,0.07692307692307693,0.19230769230769232,Ireland
26,8.575230277794093,8.215532605434674,8.215532605434674,-18.111638692204863,0.11177431208163585,0.18230569891298123,0.07692307692307693,0.11538461538461539,Thailand
26,8.655255365019123,8.076340061577394,8.076340061577394,-4.543676969148986,0.5664608891924495,0.7664403939798605,0.0,0.3076923076923077,Kazakhstan
26,8.745281152897443,7.895475581408181,0.9259848773065674,-0.3481561733452996,-0.7745701997243088,-0.729470466541033,0.19230769230769232,0.23076923076923078,El Salvador
26,9.110323742230058,8.45428853263494,8.45428853263494,-10.300432449798732,-0.14667506791854992,-0.07686261332565772,0.07692307692307693,0.2692307692307692,Mexico
26,9.195292081643808,9.085829968591543,9.085829968591543,-13.342411645823255,0.7350063032947034,0.8151924779684684,0.0,0.0,India
26,9.506166632171084,7.62158726932517,-7.615650347854432,-0.6563155449838831,0.8087011222927201,0.6546049259097553,0.11538461538461539,0.5,Bahamas
19,9.614886638696621,8.031042529589413,8.031042529589413,-1.9347950817456132,0.4012948843605488,0.3867456008657357,0.2631578947368421,0.3684210526315789,Mozambique
15,9.678065531271445,7.085135343796478,-7.029045406106899,-0.5068364290151937,0.6881212060698829,0.6759701853852769,0.4666666666666667,0.5333333333333333,Zambia
26,9.750972542331093,9.103194075401206,1.3657896441696817,-0.032294947620751024,0.20588262740599972,0.013730337657469229,0.11538461538461539,0.15384615384615385,Tunisia
6,9.786658659178435,9.37674281985142,-9.37674281985142,-4.894073089924446,0.802377419802878,0.8062746303891216,0.0,0.16666666666666666,Laos
